
word	wordFrequency--------
safety               152              
training               76              
overseas               65              
development               48              
resources               43              
risk               34              
projects               33              
co2               32              
supply               31              
csr               31              
power               30              
africa               29              
con               29              
chemical               26              
order               26              
ment               25              
china               24              
personnel               24              
tion               21              
promotion               20              
auto               20              
pro               20              
sites               19              
domestic               19              
metals               17              
kenya               17              
kaizen               17              
water               16              
ltd               16              
operation               15              
pet               15              
tokyo               15              
accidents               15              
nagoya               15              
head               15              
iso               14              
female               14              
offices               14              
over               13              
co               13              
establish               13              
tco2               13              
improvement               13              
operating               13              
guidelines               13              
businesses               12              
organization               12              
launched               12              
there               12              
experience               12              
environments               12              
cfao               12              
brasco               12              
steel               11              
elv               11              
machinery               11              
automobile               11              
environ               11              
hydrogen               11              
started               11              
striving               11              
united               11              
states               11              
participants               11              
congo               11              
com               11              
erm               11              
rules               11              
implement               11              
em               11              
metal               10              
equipment               10              
japanese               10              
council               10              
expand               10              
law               10              
manager               10              
leading               10              
eurus               10              
conference               10              
board               10              
courses               10              
consumer               10              
ratio               10              
event               10              
april               10              
ed               10              
confirm               10              
personstraining               10              
comply               10              
envi               10              
substances               10              
evaluation               10              
agribusiness               9              
model               9              
conflict               9              
child               9              
11               9              
motor               9              
actively               9              
